Id,SalePrice
1461,115406.120384
1462,158720.517866
1463,181879.908426
1464,197266.614994
1465,197445.817321
1466,171754.598527
1467,176713.335419
1468,163427.335702
1469,193496.150205
1470,118801.394528
1471,187898.74471
1472,97914.6031067
1473,97428.1768826
1474,146843.713243
1475,107931.803105
1476,358365.714482
1477,253898.63772
1478,293250.211668
1479,291298.109766
1480,493307.039123
1481,337413.989612
1482,221129.73446
1483,179290.264602
1484,157920.608832
1485,188905.361085
1486,195003.730487
1487,329297.959757
1488,240978.565603
1489,188877.374347
1490,240952.622747
1491,193130.033998
1492,93057.059727
1493,176981.051446
1494,294314.243154
1495,299710.713463
1496,229842.05802
1497,176595.347886
1498,159385.01557
1499,158965.610707
1500,155306.993865
1501,175547.161169
1502,146345.333508
1503,278652.888055
1504,240881.265203
1505,225971.39549
1506,197017.547419
1507,248287.22871
1508,197506.363978
1509,162694.652399
1510,142543.937602
1511,147583.424357
1512,177577.724598
1513,143123.889866
1514,151677.172276
1515,193130.55015
1516,149924.176103
1517,172759.197011
1518,133139.511477
1519,206477.032258
1520,129190.373338
1521,129888.470712
1522,180863.680367
1523,110073.423615
1524,126504.206502
1525,119388.129103
1526,111606.567226
1527,107671.532962
1528,143520.07855
1529,148462.823547
1530,187295.293553
1531,107103.012327
1532,99113.0801202
1533,154656.939576
1534,123395.208325
1535,151708.371215
1536,107616.461605
1537,62816.7726861
1538,148853.447354
1539,200001.269675
1540,92782.6428799
1541,141635.875284
1542,141597.028566
1543,186121.042221
1544,87350.7387016
1545,115379.859797
1546,131454.295655
1547,128890.184186
1548,137103.573858
1549,118760.764566
1550,130639.033523
1551,111519.974441
1552,134880.997029
1553,148807.887782
1554,119755.840064
1555,168503.047668
1556,81598.7952652
1557,104924.328641
1558,97507.4986958
1559,74725.0561353
1560,127997.177193
1561,123614.272074
1562,126248.265333
1563,117489.897767
1564,160089.098532
1565,143778.627052
1566,246208.899818
1567,75335.1403698
1568,234385.23846
1569,127831.642312
1570,142634.27509
1571,127575.879299
1572,147888.468502
1573,243229.750707
1574,123459.840557
1575,235228.411789
1576,244146.797899
1577,174900.370103
1578,141036.208351
1579,150302.436984
1580,193975.548553
1581,157961.882741
1582,121609.101521
1583,297802.646932
1584,217069.457825
1585,135203.469476
1586,65897.0521772
1587,102018.029592
1588,153985.019304
1589,95691.8422615
1590,136937.224538
1591,96802.0683577
1592,114467.372041
1593,119631.571976
1594,116682.179036
1595,105577.951335
1596,219858.997652
1597,190081.269447
1598,226092.92134
1599,163379.517473
1600,157311.782112
1601,64453.1726438
1602,110966.178716
1603,83127.6020135
1604,271329.269365
1605,242341.640455
1606,173722.850583
1607,179628.015887
1608,216165.246039
1609,181561.375774
1610,155309.022216
1611,142197.973237
1612,172303.065639
1613,167608.701604
1614,127700.287725
1615,96603.1883492
1616,82401.2183736
1617,94224.2589014
1618,122962.385505
1619,136301.842683
1620,156738.7409
1621,141584.718544
1622,141004.342956
1623,267687.155289
1624,215935.260521
1625,116236.486577
1626,171940.670631
1627,194052.216451
1628,271062.773363
1629,174715.365465
1630,358015.889808
1631,229955.51245
1632,247321.297356
1633,169758.865699
1634,183641.272575
1635,175946.306325
1636,149812.236866
1637,195567.148921
1638,182757.410411
1639,182378.287004
1640,250628.670821
1641,183925.016707
1642,240518.917531
1643,216489.068452
1644,233363.577852
1645,207459.164214
1646,160939.18973
1647,158245.946438
1648,127627.714782
1649,142529.354864
1650,110125.744479
1651,122364.304143
1652,100575.873599
1653,103008.395778
1654,141698.040674
1655,131109.659388
1656,138827.957375
1657,143713.430187
1658,141672.640436
1659,111231.826703
1660,148437.686662
1661,443136.788769
1662,399453.831564
1663,380554.997567
1664,528612.195498
1665,303633.727537
1666,342017.085967
1667,380124.40425
1668,339788.874247
1669,308580.979145
1670,347783.165688
1671,277060.389391
1672,441432.295048
1673,294685.683888
1674,247939.612322
1675,205853.320546
1676,205698.060092
1677,230370.948116
1678,465615.645233
1679,402640.82656
1680,333235.287232
1681,249384.436905
1682,319016.843248
1683,194190.732501
1684,180252.289268
1685,174490.848371
1686,164960.68759
1687,169494.726882
1688,186429.342758
1689,193947.193077
1690,198019.186112
1691,187316.883336
1692,255847.042158
1693,171399.135016
1694,182555.291724
1695,160909.174176
1696,265648.061558
1697,168781.168189
1698,347434.134756
1699,308591.308896
1700,257235.420569
1701,279196.846821
1702,248071.050652
1703,248272.263114
1704,288406.114193
1705,245499.319737
1706,447477.979857
1707,206605.972417
1708,200748.388804
1709,256117.366975
1710,216399.368637
1711,267320.564961
1712,251211.133656
1713,270797.506838
1714,223762.577645
1715,206210.6092
1716,179937.240981
1717,174327.710856
1718,135186.258054
1719,206838.112699
1720,227322.443346
1721,166026.45326
1722,129070.912475
1723,159189.424744
1724,194543.298896
1725,228912.807289
1726,184510.90981
1727,150632.213432
1728,176343.034511
1729,163470.895162
1730,157148.891944
1731,117897.470586
1732,120154.58401
1733,110699.892127
1734,117116.277898
1735,128315.009716
1736,103588.351171
1737,297515.305043
1738,264784.596433
1739,232092.443752
1740,215063.896631
1741,185274.669949
1742,169610.250738
1743,178050.955309
1744,317374.98271
1745,212546.270794
1746,184978.968141
1747,215893.510929
1748,220855.620421
1749,142347.703921
1750,126870.342368
1751,250881.431903
1752,113465.713441
1753,152058.978917
1754,194554.698725
1755,165480.163615
1756,126686.086108
1757,119125.389698
1758,144424.378017
1759,163580.854766
1760,161683.584235
1761,148110.553126
1762,173804.389165
1763,185960.841743
1764,112922.523278
1765,178458.693003
1766,192291.960222
1767,231549.065517
1768,143062.290041
1769,171757.175438
1770,155121.45419
1771,118350.772796
1772,138879.480579
1773,121166.993845
1774,148738.384404
1775,141035.111778
1776,126635.616509
1777,103803.340369
1778,142701.915343
1779,117421.48267
1780,184226.645176
1781,128960.693319
1782,84348.9399877
1783,142296.627954
1784,107502.705947
1785,126372.659371
1786,136307.52254
1787,164830.637551
1788,58282.4854765
1789,98608.8654631
1790,79272.0440025
1791,180912.375787
1792,164104.146883
1793,132570.720525
1794,154517.99905
1795,138686.601801
1796,125345.384796
1797,110736.094958
1798,119430.346947
1799,110037.159194
1800,130789.272936
1801,127390.533606
1802,134383.77698
1803,148914.846243
1804,139326.409083
1805,136950.225976
1806,131105.175261
1807,134399.441765
1808,126973.383206
1809,124592.381091
1810,135815.817733
